CropID,CropName,Spacing (cm x cm),Plants_per_Acre,Yield_Conv_Min_t,Yield_Conv_Max_t,Yield_Org Min (t),Yield/Org Max (t),Main Harvest Month(s),Wk 1 %,Org Wk 1 Yield Min (t),Org Wk 1 Yield Max (t),Wk 2 %,Org Wk 2 Yield Min (t),Org Wk 2 Yield Max (t),Wk 3 %,Org Wk 3 Yield Min (t),Org Wk 3 Yield Max (t),Wk 4 %,Org Wk 4 Yield Min (t),Org Wk 4 Yield Max (t),Harvest Frequency,Harvest Method,Details
1,Rice (Paddy),20 x 20,100000,1.5,2,1.1,1.6,Oct,50,0.55,0.8,30,0.33,0.48,15,0.165,0.24,5,0.055,0.08,Once at maturity,"Cut stalks, thresh","Harvest when 80–85% grains are golden/yellow, cut stalks 4–5 cm above ground, thresh, dry, store."
2,Wheat,20 x 5,500000,1.4,2,1.1,1.6,Apr,60,0.66,0.96,30,0.33,0.48,10,0.11,0.16,,,,Once at maturity,"Cut, thresh","Harvest at full maturity (grains hard, straw dry), cut, thresh, dry, store."
3,Maize,75 x 20,22000,1.5,2.2,1.1,1.6,Oct,50,0.55,0.8,30,0.33,0.48,20,0.22,0.32,,,,Once at maturity,"Pick cobs, shell","Harvest at 100–110 DAS, husks dry, grains hard, pick cobs, dry, shell, store."
4,Barley,20 x 5,500000,1.2,1.8,0.9,1.4,Mar,60,0.54,0.84,30,0.27,0.42,10,0.09,0.14,,,,Once at maturity,"Cut, thresh","Harvest at 110–120 DAS, spikes golden, cut, thresh, dry, store."
5,Jowar,45 x 10,64000,0.8,1.2,0.6,0.9,Sep,60,0.36,0.54,30,0.18,0.27,10,0.06,0.09,,,,Once at maturity,Cut panicles,"Harvest at 100–120 DAS, grains hard, cut panicles, dry, thresh, store."
6,Bajra,45 x 15,64000,0.8,1.2,0.6,0.9,Sep,60,0.36,0.54,30,0.18,0.27,10,0.06,0.09,,,,Once at maturity,Cut earheads,"Harvest at 80–90 DAS, earheads dry, cut, dry, thresh, store."
7,Mustard,45 x 10,145000,0.8,1.2,0.6,0.9,Mar,60,0.36,0.54,30,0.18,0.27,10,0.06,0.09,,,,Once at maturity,"Cut, thresh","Harvest at 110–130 DAS, 75–80% pods yellow, cut, dry, thresh, store."
8,Gram,30 x 10,145000,0.8,1.2,0.6,0.9,Mar,60,0.36,0.54,30,0.18,0.27,10,0.06,0.09,,,,Once at maturity,"Uproot, thresh","Harvest at 100–120 DAS, leaves yellow, pods dry, uproot, dry, thresh, store."
9,Lentil,30 x 10,145000,0.8,1.2,0.6,0.9,Mar,60,0.36,0.54,30,0.18,0.27,10,0.06,0.09,,,,Once at maturity,"Uproot, thresh","Harvest at 100–120 DAS, pods yellow/dry, uproot, dry, thresh, store."
10,Pea,30 x 10,145000,0.7,1.2,0.5,0.9,Feb–Mar,25,0.125,0.225,25,0.125,0.225,25,0.125,0.225,25,0.125,0.225,"Every 3–4 days, 4–6 weeks",Pick by hand,"Pick green pods at full size/tenderness, every 3–4 days for 4–6 weeks; avoid overmature pods."
