CropID,CropName,Best_Cropping_Pattern,Second_Best_Pattern,Reason
1,Rice (Paddy),Inter,Relay,Intercropping with legumes improves soil fertility and yield; relay cropping utilizes residual moisture after rice harvest.
2,Wheat,Inter,Relay,Intercropping with pulses or oilseeds increases land use efficiency; relay with summer crops maximizes seasonal productivity.
3,Maize,Inter,Relay,Maize-legume intercropping enhances nitrogen fixation and yield stability; relay with pulses fits well in rainfed systems.
4,Barley,Inter,Mono,Intercropping with peas or lentils provides mutual benefits; monocropping is simple and suitable for mechanization.
5,Jowar (Sorghum),Inter,Mono,Intercropping with pulses improves soil health and pest control; monocropping is common in dryland areas.
6,Bajra (Pearl millet),Inter,Mono,Intercropping with cowpea or green gram conserves moisture and boosts protein yield; monocropping is drought-resilient.
7,Mustard,Inter,Relay,Intercropping with wheat or chickpea increases returns; relay with short-duration pulses is effective.
8,Gram (Chickpea),Inter,Relay,Intercropping with cereals or oilseeds enhances yield; relay after rice or maize utilizes residual soil moisture.
9,Lentil,Inter,Relay,Intercropping with cereals/oilseeds provides better yield; relay after rice or maize is common in Indo-Gangetic plains.
10,Pea,Inter,Mono,Intercropping with wheat or barley increases land productivity; monocropping is easy for smallholders.
11,Pigeonpea,Inter,Mono,"Intercropping with short-duration crops (mung, urad) is widely practiced; monocropping is suitable for long-duration types."
12,Green gram,Inter,Mono,Intercropping with cereals or oilseeds increases returns; monocropping is suitable for quick harvest cycles.
13,Black gram,Inter,Mono,Intercropping with maize or sorghum improves land use; monocropping is feasible for short-duration crops.
14,Soybean,Inter,Mono,Intercropping with maize or pigeonpea improves nitrogen balance; monocropping is common in major soybean belts.
15,Groundnut,Inter,Mono,Intercropping with cereals or castor increases income; monocropping is suitable for sandy soils.
16,Sunflower,Mono,Inter,Grows best as a sole crop due to high light demand; limited intercropping with short legumes possible.
17,Cotton,Inter,Mono,"Intercropping with legumes (mung, urad) improves soil fertility; monocropping is practiced for fiber quality."
18,Potato,Inter,Mono,Intercropping with maize or onion increases returns; monocropping is common for mechanized harvest.
19,Tomato,Inter,Mono,Intercropping with onion or marigold reduces pests; monocropping is suitable for intensive management.
20,Brinjal,Inter,Mono,Intercropping with legumes or marigold reduces pest pressure; monocropping is feasible for market crops.
21,Chilli,Inter,Mono,"Intercropping with onion, coriander, or groundnut reduces pest incidence; monocropping is common for large-scale production."
22,Okra,Inter,Mono,Intercropping with short-duration pulses increases productivity; monocropping is easy to manage.
