CropID,CropName,CropFamily,CropType,Seasonality,TypicalDuration_days,FertilizerType,FertilizerDose_kg_per_ha,PesticidesUsed,SeedType,SeedRate_kg_per_ha,IrrigationRequirement_mm,ManureRequirement_ton_per_ha,LabourDays_per_ha,MinTemp_C,MaxTemp_C,Water_Requirement_Min_(mm),Water_Requirement_Max_(mm),MinSoilpH,MaxSoilpH,SoilType,Nutrients Required,Organic Fertilizer Substitutes,Sowing Months,Harvesting Months
1,Rice (Paddy),Poaceae,Cereal,Kharif,120,"Urea, DAP, MOP",100:50:50,"Carbendazim, Chlorpyrifos",High yielding,30,1200,10,80,20,35,202,322,5.5,7,"alluvial, clay, red soil","N, P, K, S, Zn, Fe, Mn","FYM, compost, green manure, Azospirillum, PSB, neem cake, vermicompost",May–July (Kharif),October–November
2,Wheat,Poaceae,Cereal,Rabi,120,"Urea, DAP, MOP",120:60:40,"Imidacloprid, Tebuconazole",High yielding,100,400,8,70,10,32,535,1475,6,7.5,"alluvial, black soil, loam","N, P, K, S, Zn, Fe","FYM, compost, green manure, Azotobacter, PSB, bone meal, rock phosphate",October–December,February–May
3,Maize,Poaceae,Cereal,Kharif,90,"Urea, DAP, MOP",60:40:20,"Lambda-cyhalothrin, Carbofuran",Hybrid,20,500,6,60,20,38,960,1226,5.5,7.5,"alluvial, red, black soil","N, P, K, S, Zn, Mg","FYM, compost, green manure, Azospirillum, PSB, poultry manure, biochar",June–July (Kharif),December
4,Barley,Poaceae,Cereal,Rabi,120,"Urea, DAP, MOP",60:40:20,"Malathion, Carbendazim",High yielding,80,350,6,65,10,32,370,743,6,7.5,"alluvial, loam","N, P, K, S, Zn, Fe, Mn","FYM, compost, green manure, vermicompost, bone meal, rock phosphate",October–November (Winter),March–April
5,Jowar (Sorghum),Poaceae,Cereal,Kharif,90,"Urea, DAP, MOP",40:40:20,"Chlorpyrifos, Quinalphos",High yielding,12,400,5,55,25,42,206,693,6,7.5,"black, red, alluvial soil","N, P, K, S, Zn, Fe","FYM, compost, green manure, vermicompost, neem cake, poultry manure",June–July (Kharif),October–November
6,Bajra (Pearl millet),Poaceae,Cereal,Kharif,90,"Urea, DAP, MOP",50:60:40,"Methyl parathion, Quinaphos",Drought tolerant,10,300,5,50,25,42,171,871,6,7.5,"sandy, black, red soil","N, P, K, S, Zn, Fe, Mg","FYM, compost, green manure, vermicompost, neem cake, poultry manure",June–July (Kharif),September–October
7,Mustard,Brassicaceae,Oilseed,Rabi,120,"Urea, DAP, MOP",80:40:40,"Dimethoate, Chlorpyrifos",Yellow seeded,5,350,5,50,12,35,800,1215,5.8,6.8,"alluvial, loam","N, P, K, S, B, Mo","FYM, compost, bone meal, rock phosphate, neem cake, vermicompost",October–November,February–March
8,Gram (Chickpea),Fabaceae,Pulse,Rabi,115,"Urea, DAP, MOP",20:40:00,"Imidacloprid, Mancozeb",Bold seeded,80,250,4,45,15,30,120,233,6,7.5,"alluvial, black, red soil","P, K, S, Ca, Mg, Mo, B","FYM, compost, Rhizobium inoculant, rock phosphate, vermicompost",October–November,February–March
9,Lentil,Fabaceae,Pulse,Rabi,120,"Urea, DAP, MOP",20:40:00,"Imidacloprid, Mancozeb",High yielding,60,250,4,45,15,30,714,1055,6,7.5,"alluvial, loam","P, K, S, Ca, Mg, Mo, B","FYM, compost, Rhizobium inoculant, rock phosphate, vermicompost",October–November,February–March
10,Pea,Fabaceae,Pulse,Rabi,120,"Urea, DAP, MOP",20:40:00,"Imidacloprid, Mancozeb",High yielding,60,250,4,45,15,30,221,1097,6,7.5,"alluvial, loam","P, K, S, Ca, Mg, Mo, B","FYM, compost, Rhizobium inoculant, rock phosphate, vermicompost",October–November,February–March
