CropID,CropName,IntercropRank1 (Best),IntercropRank2 (Better),IntercropRank3 (Good),KeyBenefits,PestDiseaseManagement,SoilTypeNutrientsRequired
1,Rice,Green gram 2 rows rice : 1 row moong,Black gram 2 rows rice : 1 row urd,Sesbania relay cropping,Nitrogen fixation weed control soil health,Blast sheath blight rotation,Clay loam high organic N P K
2,Wheat,Mustard 6 rows wheat : 2 rows mustard,Chickpea 6 rows wheat : 2 rows chickpea,Lentil 4 rows wheat : 2 rows lentil,Nitrogen fixation pest control yield stability,Rusts aphids crop rotation,Loam to clay loam high N P K
3,Maize,Cowpea 2 rows maize : 1 row cowpea,Soybean 2 rows maize : 2 rows soybean,Pumpkin 2 rows maize : 1 row pumpkin,Nitrogen fixation soil cover,Stem borer wilt mixed cropping,Sandy loam well drained N P K
4,Barley,Pea 4 rows barley : 2 rows pea,Chickpea 4 rows barley : 2 rows chickpea,Lentil 4 rows barley : 2 rows lentil,Nitrogen fixation pest control,Rusts aphids crop rotation,Sandy loam to loam moderate N P K
5,Jowar (Sorghum),Cowpea 2 rows jowar : 1 row cowpea,Pigeon pea 2 rows jowar : 1 row tur,Clusterbean 2 rows jowar : 1 row guar,Nitrogen fixation drought tolerance fodder,Shoot fly midge resistant varieties,Sandy loam low fertility N P
6,Bajra,Cowpea 2 rows bajra : 1 row cowpea,Green gram 2 rows bajra : 1 row moong,Pigeon pea 2 rows bajra : 1 row tur,Nitrogen fixation drought tolerance fodder,Downy mildew smut rotation,Sandy loam low fertility N P
7,Mustard,Wheat 6 rows wheat : 2 rows mustard,Chickpea 6 rows wheat : 2 rows chickpea,Lentil 4 rows wheat : 2 rows lentil,Yield stability pest control,Aphids alternaria mixed cropping,Sandy loam well drained S P K
8,Gram (Chickpea),Linseed 4 rows gram : 2 rows linseed,Wheat 6 rows wheat : 2 rows chickpea,Safflower 4 rows gram : 2 rows safflower,Yield stability pest control nitrogen fixation,Wilt pod borer rotation,Sandy loam well drained N P K
9,Lentil,Wheat 4 rows wheat : 2 rows lentil,Linseed 4 rows lentil : 2 rows linseed,Chickpea 4 rows lentil : 2 rows chickpea,Yield stability pest control nitrogen fixation,Rust wilt aphids rotation,Sandy loam neutral pH N P
10,Pea,Wheat 4 rows wheat : 2 rows pea,Potato 2 rows pea : 1 row potato,Carrot 2 rows pea : 1 row carrot,Yield stability pest control nitrogen fixation,Powdery mildew aphids rotation,Loam to clay loam high organic N P
11,Pigeonpea,Bajra 1 row pigeonpea : 2 rows bajra,Maize 1 row pigeonpea : 2 rows maize,Soybean 1 row pigeonpea : 2 rows soybean,Nitrogen fixation drought resilience,Wilt pod borer rotation,Sandy loam well drained N P
12,Green gram,Bajra 2 rows bajra : 1 row moong,Maize 2 rows maize : 1 row moong,Sesame 2 rows moong : 1 row sesame,Nitrogen fixation soil improvement,Leaf spot wilt rotation,Sandy loam neutral pH N
13,Black gram,Rice 2 rows rice : 1 row urd,Bajra 2 rows bajra : 1 row urd,Maize 2 rows maize : 1 row urd,Nitrogen fixation soil improvement,Leaf spot wilt rotation,Sandy loam neutral pH N
