CropID,CropName,Maintenance_Step,TimingandStage,Irrigation_Schedule,Organic_Fertilizer_Schedule,Pest_Management
1,Rice (Paddy),Puddling,June Last week (before transplant),Flood field before transplant,"FYM/compost 10 t/ha, 2-3 weeks before transplant",Neem cake 250 kg/ha at transplant; neem oil spray as needed
1,Rice (Paddy),Transplanting,June First week,Maintain 10 cm water for 1st month after transplant,Green manure incorporated 4-6 weeks before transplant,As above
1,Rice (Paddy),Weeding,"20 DAS, July Third week","Maintain 5-7 cm water, avoid water stress",Apply vermicompost tea as top dressing at tillering (20 DAS),As above
1,Rice (Paddy),Field drainage,"90 DAS, September Third week",Drain field 2 weeks before harvest,No fertilizer application,As above
1,Rice (Paddy),Harvest,Maturity,Stop irrigation 2 weeks before harvest,No fertilizer application,As above
2,Wheat,Land preparation,Before sowing,Pre-sowing irrigation if needed,"FYM/compost 10-15 t/ha, 2-3 weeks before sowing",Neem oil/biopesticide as needed
2,Wheat,Sowing,November Second week,"Irrigate at CRI (20-25 DAS), tillering, jointing, booting",Vermicompost 2-3 t/ha at sowing,As above
2,Wheat,Weeding,"20 DAS, December First week","Irrigate at critical stages, especially CRI and booting",Panchagavya foliar spray at tillering,As above
2,Wheat,Earthing up,"30 DAS, December Second week",As above,No additional fertilizer,As above
2,Wheat,Harvest,Maturity,Stop irrigation 10-15 days before harvest,No fertilizer application,As above
3,Maize,Land preparation,Before sowing,Pre-sowing irrigation if needed,"FYM/compost 5-10 t/ha, 2-3 weeks before sowing",Neem oil/biopesticide as needed
3,Maize,Sowing,June First week,"Irrigate at knee-high, tasseling, silking, grain fill",Vermicompost 2 t/ha at sowing,As above
3,Maize,Earthing up,"30 DAS, July First week",Increase irrigation at flowering,Panchagavya foliar spray at knee-high and tasseling,As above
3,Maize,Staking,"40 DAS, July Second week",As above,No additional fertilizer,As above
3,Maize,Detasseling,"60 DAS, July Fourth week",As above,No additional fertilizer,As above
3,Maize,Weeding,As required,As above,No additional fertilizer,As above
3,Maize,Harvest,Maturity,Stop irrigation at physiological maturity,No fertilizer application,As above
4,Barley,Land preparation,Before sowing,Pre-sowing irrigation if needed,"FYM/compost 8-10 t/ha, 2-3 weeks before sowing",Neem oil/biopesticide as needed
4,Barley,Sowing,November Second week,"Irrigate at tillering, booting",Vermicompost 2 t/ha at sowing,As above
4,Barley,Weeding,"20 DAS, December First week",As above,Panchagavya foliar spray at tillering,As above
4,Barley,Harvest,Maturity,Stop irrigation 10-15 days before harvest,No fertilizer application,As above
5,Jowar,Thinning,"10 DAS, June Second week","Irrigate at booting, flowering","FYM/compost 7-10 t/ha, 2-3 weeks before sowing",Neem oil/biopesticide as needed
5,Jowar,Weeding,"20 DAS, June Third week",As above,Panchagavya foliar spray at booting,As above
5,Jowar,Earthing up,"30 DAS, June Fourth week",As above,No additional fertilizer,As above
5,Jowar,Harvest,Maturity,Stop irrigation at maturity,No fertilizer application,As above
6,Bajra,Thinning,"10 DAS, June Second week","Irrigate at booting, flowering","FYM/compost 7-10 t/ha, 2-3 weeks before sowing",Neem oil/biopesticide as needed
6,Bajra,Weeding,"20 DAS, June Third week",As above,Panchagavya foliar spray at booting,As above
6,Bajra,Earthing up,"30 DAS, June Fourth week",As above,No additional fertilizer,As above
